"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2021-07-27",134.250503540039,134.399002075195,130.10400390625,131.899993896484,54710000,130.910873413086
"2021-07-28",136.311996459961,138.296997070312,135.277496337891,136.093994140625,95130000,135.073394775391
"2021-07-29",136.149993896484,136.660995483398,135.542999267578,135.777496337891,31716000,134.759292602539
"2021-07-30",135.035003662109,135.304504394531,134.255004882812,134.726501464844,25576000,133.716171264648
"2021-08-02",135.117004394531,135.336502075195,133.794006347656,134.854507446289,21634000,133.843231201172
"2021-08-03",135.134994506836,135.731994628906,133.31950378418,135.630004882812,20762000,134.612899780273
"2021-08-04",135.349502563477,135.649505615234,134.486999511719,135.125503540039,19676000,134.112197875977
"2021-08-05",135.68049621582,136.350006103516,134.845993041992,136.251495361328,17870000,135.229751586914
"2021-08-06",136.042007446289,136.472503662109,135.210006713867,135.738494873047,20488000,134.720581054688
"2021-08-09",135.942504882812,137.184005737305,135.339492797852,136.912994384766,17760000,135.886276245117
"2021-08-10",137.341995239258,137.772506713867,136.364501953125,136.807006835938,19414000,135.781097412109
"2021-08-11",137.181503295898,137.682495117188,136.271499633789,136.279006958008,15352000,135.257049560547
"2021-08-12",135.975494384766,137.300003051758,135.425506591797,137.194000244141,16506000,136.165161132812
"2021-08-13",137.25,137.856506347656,137.033004760742,137.727493286133,15948000,136.69465637207
"2021-08-16",137.524993896484,138.362503051758,135.29899597168,138.309494018555,22384000,137.272308349609
"2021-08-17",137.75,138.265502929688,136.082000732422,136.661499023438,21716000,135.636657714844
"2021-08-18",136.5,137.104507446289,135.321502685547,135.449005126953,19258000,134.43327331543
"2021-08-19",134.435501098633,136.352493286133,134.25,135.679992675781,21782000,134.662521362305
"2021-08-20",136,137.554000854492,135.25,137.429504394531,31194000,136.398910522461
"2021-08-23",137.969497680664,140.874496459961,137.607498168945,140.04150390625,28454000,138.991317749023
"2021-08-24",140.61149597168,142.080001831055,140.338500976562,141.261505126953,19268000,140.202178955078
"2021-08-25",141.625,142.189498901367,141.376007080078,142.078994750977,15848000,141.013534545898
"2021-08-26",141.75,142.417495727539,141.356994628906,141.440505981445,20610000,140.379821777344
"2021-08-27",141.652496337891,144.512496948242,141.496994018555,144.003997802734,28780000,142.924118041992
"2021-08-30",144.399993896484,145.970504760742,144.162994384766,144.59049987793,24434000,143.506225585938
"2021-08-31",145.147003173828,145.171493530273,144.281005859375,144.697494506836,22448000,143.612396240234
"2021-09-01",145,146.253997802734,144.883499145508,145.21549987793,21936000,144.126510620117
